product_id,product_name,category,brand,cost_price,unit_price,margin_pct
P0000,BrandA Shoulder,Electronics,Brandc,52.75,64.65,0.1841
P0001,BrandA Responsibility,Electronics,Brandd,11.2,13.26,0.1554
P0002,BrandB Small,Electronics,Brandb,144.62,250.37,0.4224
P0003,BrandD Continue,Apparel,Brandd,119.91,219.25,0.4531
P0004,BrandA Indeed,Apparel,Brandd,71.35,88.47,0.1935
P0005,BrandC Cut,Electronics,Branda,79.09,112.55,0.2973
P0006,BrandC Air,Home & kitchen,Branda,147.3,233.12,0.3681
P0007,BrandD State,Electronics,Brandc,166.73,276.22,0.3964
P0008,BrandC Growth,Apparel,Branda,13.94,18.19,0.2336
P0009,BrandC Keep,Electronics,Brandb,173.96,250.87,0.3066
P0010,BrandD Reveal,Home & kitchen,Brandb,77.19,99.46,0.2239
P0011,BrandC Laugh,Electronics,Brandb,109.16,144.13,0.2426
P0012,BrandD Cell,Personal care,Brandc,197.96,331.78,0.4033
P0013,BrandB Seat,Home & kitchen,Branda,49.66,56.06,0.1142
P0014,BrandC Argue,Personal care,Brandc,17.91,34.42,0.4797
P0015,BrandC Peace,Apparel,Brandd,82.15,157.98,0.48
P0016,BrandD Crime,Apparel,Brandc,32.23,57.06,0.4352
P0017,BrandC Firm,Personal care,Brandd,75.59,151.0,0.4994
P0018,BrandB Management,Personal care,Branda,152.38,285.71,0.4667
P0019,BrandB Left,Apparel,Brandd,121.3,175.44,0.3086
P0020,BrandD House,Home & kitchen,Branda,137.66,165.62,0.1688
P0021,BrandC Shake,Home & kitchen,Branda,62.23,77.31,0.1951
P0022,BrandA Much,Home & kitchen,Brandb,104.0,124.36,0.1637
P0023,BrandC Believe,Apparel,Unknown,77.91,97.03,0.1971
P0024,BrandA Black,Home & kitchen,Brandd,8.8,17.04,0.4836
P0025,BrandC Resource,Apparel,Branda,51.97,83.7,0.3791
P0026,BrandA Fund,Electronics,Brandd,164.12,324.99,0.495
P0027,BrandB Probably,Apparel,Brandd,189.64,236.79,0.1991
P0028,BrandD Degree,Apparel,Brandb,144.03,210.15,0.3146
P0029,BrandC Stuff,Personal care,Brandd,28.6,37.24,0.232
P0030,BrandC War,Electronics,Brandb,119.75,132.5,0.0962
P0031,BrandA Responsibility,Apparel,Branda,181.56,340.18,0.4663
P0032,BrandA Role,Apparel,Brandc,135.45,175.11,0.2265
P0033,BrandB Training,Personal care,Brandb,158.0,288.63,0.4526
P0034,BrandB Draw,Electronics,Branda,133.5,189.42,0.2952
P0035,BrandD Sure,Personal care,Branda,136.31,270.68,0.4964
P0036,BrandA Beautiful,Electronics,Brandd,147.0,267.62,0.4507
P0037,BrandA One,Apparel,Brandb,42.09,63.29,0.335
P0038,BrandD The,Apparel,Brandc,95.21,179.66,0.4701
P0039,BrandA Professor,Personal care,Branda,14.86,29.71,0.4998
P0040,BrandA Identify,Electronics,Brandb,37.43,57.53,0.3494
P0041,BrandB Prevent,Personal care,Branda,37.1,40.88,0.0925
P0042,BrandD Outside,Home & kitchen,Brandd,60.62,104.69,0.421
P0043,BrandD Who,Apparel,Unknown,62.86,123.95,0.4929
P0044,BrandA Argue,Home & kitchen,Unknown,14.78,22.6,0.346
P0045,BrandB Tend,Electronics,Branda,171.01,198.66,0.1392
P0046,BrandA Usually,Apparel,Brandd,28.38,53.96,0.4741
P0047,BrandB Son,Electronics,Branda,86.75,141.0,0.3848
P0048,BrandC Carry,Home & kitchen,Brandb,135.6,187.5,0.2768
P0049,BrandC Bit,Personal care,Unknown,135.98,186.29,0.2701
P0050,BrandC Marriage,Electronics,Branda,94.37,188.61,0.4997
P0051,BrandA Table,Electronics,Brandb,103.65,126.37,0.1798
P0052,BrandC Agency,Electronics,Brandb,77.06,95.71,0.1949
P0053,BrandC Decision,Electronics,Brandc,186.69,222.76,0.1619
P0054,BrandB Our,Home & kitchen,Branda,178.49,315.6,0.4344
P0055,BrandB Day,Home & kitchen,Brandc,122.94,214.63,0.4272
P0056,BrandB Operation,Home & kitchen,Brandd,53.97,103.48,0.4784
P0057,BrandA Majority,Electronics,Brandd,166.72,190.01,0.1226
P0058,BrandC Recently,Apparel,Unknown,36.51,54.68,0.3323
P0059,BrandD Mother,Electronics,Branda,19.67,37.27,0.4722
P0060,BrandB Society,Electronics,Brandc,118.59,146.26,0.1892
P0061,BrandB Off,Electronics,Brandc,76.11,147.64,0.4845
P0062,BrandA Five,Home & kitchen,Brandb,138.0,234.63,0.4118
P0063,BrandC Congress,Personal care,Brandb,185.52,243.6,0.2384
P0064,BrandB Important,Apparel,Brandd,9.83,17.33,0.4328
P0065,BrandC Moment,Personal care,Brandb,57.03,103.15,0.4471
P0066,BrandA Computer,Personal care,Branda,172.43,224.19,0.2309
P0067,BrandD Indeed,Home & kitchen,Brandc,165.0,310.89,0.4693
P0068,BrandB Nice,Electronics,Brandb,82.7,111.71,0.2597
P0069,BrandA Wait,Home & kitchen,Brandc,130.09,189.89,0.3149
P0070,BrandC Quality,Electronics,Unknown,176.02,235.0,0.251
P0071,BrandC Tough,Electronics,Branda,121.33,171.21,0.2913
P0072,BrandC Finish,Personal care,Branda,80.11,129.69,0.3823
P0073,BrandC Help,Electronics,Brandd,5.33,10.3,0.4825
P0074,BrandB No,Home & kitchen,Brandd,18.64,31.65,0.4111
P0075,BrandC Better,Home & kitchen,Branda,145.35,199.17,0.2702
P0076,BrandC Economy,Personal care,Brandc,83.47,114.03,0.268
P0077,BrandB Need,Apparel,Brandd,134.66,194.08,0.3062
P0078,BrandB Oil,Home & kitchen,Brandd,111.85,123.08,0.0912
P0079,BrandC Southern,Apparel,Brandd,158.22,260.43,0.3925
P0080,BrandC Market,Personal care,Brandd,91.22,117.89,0.2262
P0081,BrandD Need,Apparel,Branda,60.34,102.43,0.4109
P0082,BrandC Society,Electronics,Brandb,136.2,177.36,0.2321
P0083,BrandB Weight,Apparel,Branda,14.01,27.82,0.4964
P0084,BrandA Head,Personal care,Brandd,177.8,287.7,0.382
P0085,BrandD Officer,Personal care,Brandd,52.58,88.88,0.4084
P0086,BrandA Born,Electronics,Brandd,47.67,86.94,0.4517
P0087,BrandD Accept,Electronics,Brandb,183.91,222.39,0.173
P0088,BrandB Compare,Personal care,Brandc,190.26,361.93,0.4743
P0089,BrandD Answer,Personal care,Brandb,150.01,229.1,0.3452
P0090,BrandC Chance,Apparel,Brandc,154.33,242.17,0.3627
P0091,BrandB Add,Home & kitchen,Brandd,20.11,27.29,0.2631
P0092,BrandC Half,Home & kitchen,Brandc,179.14,210.05,0.1472
P0093,BrandB Present,Apparel,Brandd,140.32,243.56,0.4239
P0094,BrandA President,Personal care,Brandd,69.52,105.62,0.3418
P0095,BrandA So,Apparel,Brandd,80.95,145.13,0.4422
P0096,BrandA Drive,Personal care,Brandd,6.15,8.71,0.2939
P0097,BrandD Might,Personal care,Brandb,100.2,134.83,0.2568
P0098,BrandD Officer,Electronics,Brandd,70.55,120.73,0.4156
P0099,BrandD Indicate,Apparel,Brandd,184.31,365.42,0.4956
P0100,BrandA Off,Personal care,Branda,21.37,31.75,0.3269
P0101,BrandD Fall,Apparel,Unknown,55.73,77.72,0.2829
P0102,BrandD Improve,Home & kitchen,Brandc,153.44,221.14,0.3061
P0103,BrandD Or,Home & kitchen,Branda,96.71,171.58,0.4364
P0104,BrandA Among,Home & kitchen,Brandb,131.78,237.61,0.4454
P0105,BrandA Same,Electronics,Brandb,43.88,49.07,0.1058
P0106,BrandB Follow,Apparel,Brandb,97.34,117.1,0.1687
P0107,BrandB Never,Personal care,Unknown,154.55,193.34,0.2006
P0108,BrandA Make,Apparel,Brandc,26.08,29.29,0.1096
P0109,BrandC Break,Personal care,Unknown,188.59,241.11,0.2178
