order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,cost_price,profit
O00000,31-01-2025,C0125,P1086,Online,Online,2,80.63,0.05,153.2,69.87,13.46
O00001,29-09-2025,C0633,P0973,S042,In-Store,20,209.16,0.05,3974.04,120.11,1571.84
O00002,29-08-2024,C0653,P0659,Online,Online,2,218.6,0.1,393.48,173.17,47.14
O00003,13-05-2025,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82,65.86,-3.04
O00004,22-07-2025,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94,174.83,101.11
O00005,16-12-2025,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59,7.9,5.69
O00006,25-09-2024,C0532,P1171,S045,In-Store,2,230.62,0,461.24,185.92,89.4
O00007,27-09-2024,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51,94.08,18.35
O00008,01-03-2025,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17,173.04,28.09
O00009,02-12-2024,C0174,P0183,Online,Online,3,304.66,0,913.98,181.16,370.5
O00010,03-05-2024,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65,46.09,5.56
O00011,12-04-2025,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84,196.57,-23.3
O00012,13-11-2025,C0708,P0681,S059,In-Store,1,342.55,0,342.55,190.14,152.41
O00013,05-10-2025,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64,99.94,22.7
O00014,18-11-2025,C0228,P0530,Online,Online,2,274.32,0,548.64,147.34,253.96
O00015,06-05-2025,C0348,P0528,S047,In-Store,2,102.08,0,204.16,65.43,73.3
O00016,16-07-2024,C0130,P0641,S036,In-Store,1,240.92,0,240.92,123.63,117.29
O00017,19-01-2025,C0604,P1096,Online,Online,1,214.66,0.2,171.73,109.25,62.48
O00018,05-03-2025,C0327,P0747,S059,In-Store,1,127.24,0.05,120.88,84.49,36.39
O00019,28-04-2024,C0616,P0255,Online,Online,10,21.15,0.2,169.2,17.85,-9.3
O00020,15-03-2025,C0471,P0647,Online,Online,2,139.35,0.1,250.83,105.87,39.09
O00021,27-11-2024,C0511,P0933,Online,Online,2,25.25,0.1,45.45,13.75,17.95
O00022,28-06-2025,C0681,P0070,S019,In-Store,2,235,0,470,176.02,117.96
O00023,10-10-2025,C0723,P1175,S053,In-Store,2,26.47,0.05,50.29,23.03,4.23
O00024,16-07-2025,C0721,P0771,Online,Online,2,155.11,0.1,279.2,81.54,116.12
O00025,19-05-2025,C0733,P0431,S059,In-Store,1,39.3,0.05,37.33,21.12,16.21
O00026,07-03-2025,C0053,P0366,S046,In-Store,2,230.23,0.2,368.37,183.08,2.21
O00027,03-04-2025,C0675,P0326,S035,In-Store,2,134.39,0.2,215.02,95.57,23.88
O00028,17-08-2024,C0694,P0969,S048,In-Store,2,171.98,0.2,275.17,90.71,93.75
O00029,12-07-2025,C0540,P0579,Online,Online,1,137.64,0.05,130.76,74.19,56.57
O00030,21-10-2025,C0561,P0806,Online,Online,1,38.24,0.1,34.42,24.55,9.87
O00031,18-02-2025,C0594,P0110,S045,In-Store,3,280.19,0.1,756.51,170.81,244.08
O00032,27-01-2025,C0167,P1182,Online,Online,1,275.08,0.2,220.06,167.92,52.14
O00033,19-06-2025,C0148,P0429,Online,Online,1,257.83,0.05,244.94,138.39,106.55
O00034,04-06-2025,C0009,P0741,S036,In-Store,2,25.86,0,51.72,13.55,24.62
O00035,14-09-2024,C0151,P0771,S027,In-Store,1,155.11,0.05,147.35,81.54,65.81
O00036,14-12-2024,C0098,P0728,S011,In-Store,3,242.37,0,727.11,152.25,270.36
O00037,14-06-2025,C0527,P0693,S009,In-Store,2,147.47,0.2,235.95,132.72,-29.49
O00038,26-11-2025,C0121,P0493,S019,In-Store,2,178.11,0.05,338.41,108.79,120.83
O00039,18-08-2025,C0384,P0183,S055,In-Store,1,304.66,0.2,243.73,181.16,62.57
O00040,19-04-2024,C0668,P0911,S007,In-Store,3,298.36,0,895.08,154.31,432.15
O00041,30-12-2024,C0500,P1043,Online,Online,2,321.82,0.2,514.91,198.11,118.69
